opened_at,closed_at,direction,signal,entry,avg_entry,exit,tp,sl,size,score,regime,ai_prob,ai_long_prob,ai_short_prob,macro_bias,entry_threshold,rr_at_entry,risk_rate_pct,reward_rate_pct,net_edge_rate_est_pct,total_trade_cost_rate_est_pct,fee_round_trip_rate_pct,funding_cost_rate_est_pct,support_hits,resistance_hits,derivatives_pressure,open_interest_change_pct,mark_premium_rate_pct,funding_rate_live_pct,taker_buy_ratio,max_favorable_move_pct,max_adverse_move_pct,gross_move_pct,net_move_pct,partial_realized_return,trade_return,equity,exit_reason,break_even_activations,tp_shrink_count,scale_add_count,scale_reduce_count,management_events
2026-05-20T05:24:59.999000+00:00,2026-05-20T15:19:59.999000+00:00,long,🚀 做多,2122.5,2122.5,2143.58,2143.58,2104.93,0.125,0.651,bear_trend,0.7024,0.7024,0.3282,0.0,0.14,2.0,0.828,1.656,0.771,0.146,0.1,0.006,0,0,0.0,0.0,0.0,0.0,0.5,1.23,0.471,0.993,0.844,0.0,0.001055,1.001055,TP,0,1,0,0,"[{""ts"": ""2026-05-20T09:24:59.999000+00:00"", ""type"": ""tp_shrink_4h"", ""old_tp"": 2157.64, ""new_tp"": 2143.58}]"
2026-05-20T16:09:59.999000+00:00,2026-05-20T22:09:59.999000+00:00,short,🚀 做空,2138.68,2138.68,2123.2,2123.2,2148.6,0.1,0.3519,bear_trend_strong,0.6267,0.6267,0.3879,0.0,0.14,2.6,0.464,1.206,0.038,0.146,0.1,0.006,0,1,0.0,0.0,0.0,0.0,0.5,0.929,0.432,0.724,0.578,2.3e-05,0.000601,1.001656,TP,0,1,0,1,"[{""ts"": ""2026-05-20T16:29:59.999000+00:00"", ""type"": ""scale_reduce"", ""delta_size"": 0.005, ""price"": 2125.84, ""gross_move_pct"": 0.6, ""net_move_pct"": 0.46, ""realized_return"": 2.3e-05, ""reduce_count"": 1}, {""ts"": ""2026-05-20T20:09:59.999000+00:00"", ""type"": ""tp_shrink_4h"", ""old_tp"": 2112.888, ""new_tp"": 2123.2}]"
2026-05-20T22:09:59.999000+00:00,2026-05-21T00:49:59.999000+00:00,short,🚀 做空,2123.4819,2123.4819,2140.72,2079.37,2140.72,0.335,0.1789,bear_trend,0.05,0.6086,0.62,0.0,0.14,2.0,0.964,1.929,0.684,0.146,0.1,0.006,0,0,0.0,0.0,0.0,0.0,0.5,0.135,0.819,-0.812,-0.954,0.0,-0.003197,0.998454,SL,0,0,2,0,"[{""ts"": ""2026-05-20T22:34:59.999000+00:00"", ""type"": ""scale_add"", ""delta_size"": 0.08, ""price"": 2125.65, ""entry_before"": 2120.27, ""entry_after"": 2121.9578, ""add_count"": 1}, {""ts"": ""2026-05-20T23:49:59.999000+00:00"", ""type"": ""scale_add"", ""delta_size"": 0.08, ""price"": 2128.34, ""entry_before"": 2121.9578, ""entry_after"": 2123.4819, ""add_count"": 2}]"
2026-05-21T02:09:59.999000+00:00,2026-05-21T10:29:59.999000+00:00,short,🚀 做空,2139.36,2139.36,2111.84,2111.84,2157.0,0.175,0.3169,bear_trend_strong,0.5895,0.5895,0.3572,0.0,0.14,2.6,0.825,2.144,0.09,0.146,0.1,0.006,0,2,0.0,0.0,0.0,0.0,0.5,1.372,0.395,1.286,1.138,0.0,0.001992,1.000443,TP,0,1,0,0,"[{""ts"": ""2026-05-21T06:09:59.999000+00:00"", ""type"": ""tp_shrink_4h"", ""old_tp"": 2093.496, ""new_tp"": 2111.84}]"
2026-05-21T14:24:59.999000+00:00,2026-05-21T14:39:59.999000+00:00,short,🚀 做空,2114.71,2114.71,2124.12,2090.244,2124.12,0.35,0.1158,bear_trend_strong,0.1,0.3523,0.5363,0.0,0.14,2.6,0.445,1.157,0.268,0.146,0.1,0.006,3,0,0.0,0.0,0.0,0.0,0.5,0.013,0.472,-0.445,-0.585,0.0,-0.002048,0.998394,SL,0,0,0,0,[]
2026-05-21T16:09:59.999000+00:00,2026-05-22T18:49:59.999000+00:00,long,🚀 做多,2134.77,2134.77,2103.51,2172.28,2103.51,0.25,0.9348,bull_trend,0.9,0.5472,0.3159,0.0,0.14,2.0,1.464,2.929,0.794,0.146,0.1,0.006,0,2,0.0,0.0,0.0,0.0,0.5,0.844,2.448,-1.464,-1.63,0.0,-0.004074,0.994326,SL,0,1,0,0,"[{""ts"": ""2026-05-21T20:09:59.999000+00:00"", ""type"": ""tp_shrink_4h"", ""old_tp"": 2197.29, ""new_tp"": 2172.28}]"
2026-05-22T18:54:59.999000+00:00,2026-05-22T23:49:59.999000+00:00,short,🚀 做空,2097.95,2097.95,2060.22,2060.22,2129.39,0.175,0.2394,bear_trend,0.1,0.3628,0.4318,0.0,0.14,2.0,1.499,2.997,0.297,0.146,0.1,0.006,0,0,0.0,0.0,0.0,0.0,0.5,1.997,0.207,1.798,1.654,0.0,0.002894,0.997204,TP,0,1,0,0,"[{""ts"": ""2026-05-22T22:54:59.999000+00:00"", ""type"": ""tp_shrink_4h"", ""old_tp"": 2035.07, ""new_tp"": 2060.22}]"
2026-05-23T00:09:59.999000+00:00,2026-05-23T07:09:59.999000+00:00,short,🚀 做空,2069.79,2069.79,2055.72,2055.72,2078.81,0.35,0.05,bear_trend_strong,0.1,0.7237,0.7487,0.0,0.14,2.6,0.436,1.133,0.593,0.146,0.1,0.006,0,0,0.0,0.0,0.0,0.0,0.5,0.884,0.063,0.68,0.533,0.0,0.001866,0.999065,TP,0,1,0,0,"[{""ts"": ""2026-05-23T04:09:59.999000+00:00"", ""type"": ""tp_shrink_4h"", ""old_tp"": 2046.338, ""new_tp"": 2055.72}]"
2026-05-23T07:54:59.999000+00:00,2026-05-23T15:09:59.999000+00:00,short,🚀 做空,2020.81,2020.81,2066.56,1965.91,2066.56,0.25,0.1382,bear_trend,0.15,0.3733,0.3216,0.0,0.14,2.0,2.264,4.528,-0.225,0.146,0.1,0.006,0,0,0.0,0.0,0.0,0.0,0.5,0.04,2.28,-2.264,-2.411,0.0,-0.006027,0.993043,SL,0,1,0,0,"[{""ts"": ""2026-05-23T11:54:59.999000+00:00"", ""type"": ""tp_shrink_4h"", ""old_tp"": 1929.31, ""new_tp"": 1965.91}]"
2026-05-23T15:54:59.999000+00:00,2026-05-23T18:14:59.999000+00:00,short,🚀 做空,2059.83,2059.83,2067.84,2039.004,2067.84,0.105,0.3539,bear_trend_strong,0.6244,0.7599,0.6356,0.0,0.14,2.6,0.389,1.011,0.355,0.146,0.1,0.006,1,0,0.0,0.0,0.0,0.0,0.5,0.167,0.936,-0.389,-0.531,0.0,-0.000558,0.99249,SL,0,0,0,0,[]
